car_booking_id,pax_id,car_model,rental_company,pickup_location,dropoff_location,pickup_date,return_date,rental_price
CB00001,PAX00001,side,Greer-Johnson,North Saraville,Port Hunter,2023-12-13,2025-06-30,170.91
CB00002,PAX00002,then,"Mills, Flores and Hunter",Dixonchester,New Aprilfort,2024-08-24,2025-08-20,54.37
CB00003,PAX00003,imagine,"Hoffman, Warner and Sanchez",East Dennischester,Johnathanland,2024-10-26,2025-12-14,228.12
CB00004,PAX00004,such,Walters LLC,New Ronnieberg,Kellytown,2024-08-17,2025-08-20,277.91
CB00005,PAX00005,production,Garner-Lee,East Brandonburgh,Michaelfurt,2023-07-03,2025-03-31,293.11
CB00006,PAX00006,building,Campbell Ltd,Johnburgh,Richardsberg,2023-11-19,2025-08-02,142.76
CB00007,PAX00007,pressure,"Perry, Booth and Mata",Cooperport,Velazquezberg,2023-06-21,2025-05-16,254.98
CB00008,PAX00008,local,Nelson-Peterson,Aaronborough,Port Amanda,2024-01-10,2025-02-24,181.1
CB00009,PAX00009,group,Sanchez Inc,New Kathleen,Lake Jacquelinetown,2023-11-16,2025-01-31,242.41
CB00010,PAX00010,form,"Hayes, Doyle and Ford",Lake Thomaston,Ramirezfurt,2025-01-05,2025-05-23,116.49
CB00011,PAX00011,herself,Rojas-Vargas,Lake Oscar,Quinnview,2023-12-13,2025-12-02,295.75
CB00012,PAX00012,visit,Davidson-Johnson,East Dannyside,Nathanielshire,2023-05-10,2025-09-01,167.34
CB00013,PAX00013,few,"Tate, Meyer and Hoover",East Brittanyburgh,Masonside,2024-09-20,2025-10-18,93.87
CB00014,PAX00014,during,Sellers-Patel,Jenkinsmouth,Donaldside,2024-06-16,2025-05-19,65.4
CB00015,PAX00015,star,Carney Inc,Lake Evanborough,Emilymouth,2023-05-20,2025-03-22,98.65
CB00016,PAX00016,such,Wood-Colon,Brittanyberg,West Kathrynville,2023-08-24,2025-05-08,241.87
CB00017,PAX00017,trade,Jackson PLC,Lake Leslieburgh,Port Annatown,2023-10-20,2026-01-01,140.57
CB00018,PAX00018,claim,"Wagner, Nixon and Clarke",Christyville,Michaelport,2024-06-27,2025-06-03,282.18
CB00019,PAX00019,left,Anderson-Green,Burkefurt,North Megan,2023-07-12,2025-05-29,244.14
CB00020,PAX00020,remember,"Evans, Higgins and Pugh",East Ashley,Sarahborough,2023-12-22,2025-11-12,254.97
CB00021,PAX00021,west,Brown-Burns,West Jacqueline,Conwayland,2023-04-22,2025-09-11,259.81
CB00022,PAX00022,really,"Brown, Baird and Price",Hallmouth,Port Shannon,2024-01-29,2026-01-26,275.87
CB00023,PAX00023,senior,Holmes and Sons,North Erinfurt,West Tanya,2024-08-15,2025-05-18,224.97
CB00024,PAX00024,after,Franklin LLC,Katherinemouth,Port Vincent,2023-03-11,2025-10-21,87.55
CB00025,PAX00025,theory,Lewis-Reilly,East Jamie,Nicholsville,2024-06-10,2025-11-19,266.23
CB00026,PAX00026,authority,Marshall LLC,South Becky,Port Dominiqueview,2024-07-03,2026-01-15,47.59
CB00027,PAX00027,girl,Christian-Brown,Ashleybury,North Ericland,2023-11-25,2025-05-02,236.89
CB00028,PAX00028,player,"Patel, Barnett and Mullins",Myersland,Lake Alvin,2024-01-11,2025-08-10,135.13
CB00029,PAX00029,but,Brown Inc,Josephmouth,Wilsonside,2024-06-27,2026-01-25,91.29
