call_log_id,pax_id,call_date,call_duration,issue_category,resolution_status
CALL00001,PAX00001,2024-07-06,41,Booking Issue,Pending
CALL00002,PAX00002,2024-12-05,30,Booking Issue,Escalated
CALL00003,PAX00003,2023-09-21,32,Booking Issue,Escalated
CALL00004,PAX00004,2023-06-06,6,General Inquiry,Escalated
CALL00005,PAX00005,2024-08-06,47,Booking Issue,Escalated
CALL00006,PAX00006,2024-02-08,58,Refund Request,Escalated
CALL00007,PAX00007,2023-04-25,6,Refund Request,Resolved
CALL00008,PAX00008,2024-04-08,10,Refund Request,Escalated
CALL00009,PAX00009,2024-02-26,58,General Inquiry,Resolved
CALL00010,PAX00010,2023-06-28,1,Refund Request,Pending
CALL00011,PAX00011,2024-08-27,44,Refund Request,Pending
CALL00012,PAX00012,2023-08-29,10,Refund Request,Resolved
CALL00013,PAX00013,2024-06-17,39,General Inquiry,Pending
CALL00014,PAX00014,2023-11-22,30,Booking Issue,Resolved
CALL00015,PAX00015,2024-05-24,42,Refund Request,Pending
CALL00016,PAX00016,2023-02-22,19,Refund Request,Pending
CALL00017,PAX00017,2023-03-21,12,General Inquiry,Escalated
CALL00018,PAX00018,2023-03-02,35,Booking Issue,Pending
CALL00019,PAX00019,2023-05-10,59,Booking Issue,Resolved
CALL00020,PAX00020,2023-05-03,24,General Inquiry,Resolved
CALL00021,PAX00021,2023-08-14,38,Refund Request,Resolved
CALL00022,PAX00022,2024-04-12,33,Booking Issue,Escalated
CALL00023,PAX00023,2024-06-18,46,Booking Issue,Resolved
CALL00024,PAX00024,2023-02-03,6,General Inquiry,Resolved
CALL00025,PAX00025,2023-06-17,12,General Inquiry,Escalated
CALL00026,PAX00026,2024-02-16,3,General Inquiry,Resolved
CALL00027,PAX00027,2024-01-19,60,Refund Request,Pending
CALL00028,PAX00028,2023-12-31,19,General Inquiry,Resolved
CALL00029,PAX00029,2023-05-08,24,Booking Issue,Escalated
CALL00030,PAX00030,2024-08-27,34,Refund Request,Escalated
CALL00031,PAX00031,2023-08-06,54,General Inquiry,Pending
CALL00032,PAX00032,2023-07-25,44,Refund Request,Escalated
CALL00033,PAX00033,2023-12-06,29,Booking Issue,Pending
CALL00034,PAX00034,2024-03-01,22,Refund Request,Escalated
CALL00035,PAX00035,2024-08-04,11,Refund Request,Resolved
CALL00036,PAX00036,2025-01-26,29,Refund Request,Pending
CALL00037,PAX00037,2023-03-11,51,Refund Request,Escalated
CALL00038,PAX00038,2024-03-27,56,Refund Request,Resolved
CALL00039,PAX00039,2023-02-13,56,Booking Issue,Resolved
CALL00040,PAX00040,2023-12-28,40,Booking Issue,Pending
CALL00041,PAX00041,2023-09-23,23,General Inquiry,Escalated
CALL00042,PAX00042,2024-06-23,22,General Inquiry,Resolved
CALL00043,PAX00043,2024-03-27,32,Booking Issue,Resolved
CALL00044,PAX00044,2023-05-11,56,Booking Issue,Escalated
CALL00045,PAX00045,2023-05-11,55,Booking Issue,Resolved
CALL00046,PAX00046,2023-09-09,32,Refund Request,Resolved
CALL00047,PAX00047,2023-12-24,36,Booking Issue,Pending
CALL00048,PAX00048,2023-04-03,48,Booking Issue,Pending
CALL00049,PAX00049,2023-02-12,29,Refund Request,Resolved
