Location;Hotel;UserID;Title;Review;Rating;Value;Accessibility;Service;Room;Cleanliness;Sleep Quality
Legian Kuta Bali;Merccure Bali Legian;Barry Sloan;Nice Hotek;Check in was smooth although my room wasn’t ready at 5pm, I was due to arrive at 4pm First night I was in a room overlooking JL Legian which is a very busy load st, I asked if I could be moved the 2nd night and they were very helpful and moved to a great room overlooking 1 of the pools. Overall the staff here are very friendly and helpful, rooms are comfortable. Breakfast buffet is good with plenty to choose from. Water pressure is bad so It’s a little frustrating getting a good shower. Great location but be aware there is a lot of traffic noise. I’d still happily stay here again;4;0;0;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;u4ianoosa;Perfect location, great Facilities;We thoroughly enjoyed our stay at Mercure Legian, with a fantastic room with huge wrap around balcony overlooking the mountains, also enjoying the magnificent sunrise and sunset from the balcony. Special thanks to the Resident Manager Nengah Sudiarta who has made our stay spectacular with the attention to detail in the room and services within the hotel. Would definitely stay there again.;5;0;0;1;1;0;0
Legian Kuta Bali;Merccure Bali Legian;Phoenix G;A Fortnight at Mercure Legian Bali;"Really the rating is 4.7 (I will attempt to make this review short) Mercure is conveniently surrounded by convenience stores, laundry express, restaurants, souvenir & other shopping, and spas (& such). I spent a lot of time writing on that breezy balcony. Positives: At check-in (thank you, Jian), there's a staff porter, with trolley, to help you with any bags from the car; and patiently assists with taking them up to your room. Our check-in (and check-out, thank you Jian & Andi) was smooth and the reception staff were all kind (during our full 2week stay). The rooms are nicely situated and the balcony set-up affords you some privacy - even with a neighbor. Great aircon, workstation, closet space (you won't have to live out of your s tcase), and spacious bathroom with";5;0;1;1;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Brenda;Best Bali Holiday;First time travelling to Bali with our 5 year old. Staying at Mecure Legian was great. The downstairs pool was very clean and great place to make new friends for us and him. The plunge pool room was large and very clean. We enjoyed the themed dinner on Tuesday nights with the Balanese dancers. The location is fantastic with lots around. Staff at Mecure were lovely and made us feel very welcome. Looking forward to coming back in 2023;5;0;1;0;0;1;0
Legian Kuta Bali;Merccure Bali Legian;Sukhwinder K;Mrs;Very nice want to come back again, kids enjoyed all hotel facilities specially pools. Breakfast was imaging love Bali love Mercure. ❤️ love the location hospitality of staff and other people of Bali all are so nice and very welcoming. Want to come back soon.;5;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Bruno035;If only the Owners would support their staff.;As an Accor Diamond member who has travelled extensively through Asia and the USA this year with Covid restrictions easing. I have witnessed Hotels Limping through some tough financial times and others that have become pro active on the flip side. The Mercure Legian is one of my all time favourite destinations for many reasons, being its great location , quality rooms no most of all good service. Unfortunately this visit the ownership of the Hotel is not giving the staff the support req red to keep up the hotels high standards. The Hotel will be at 100% capacity tomorrow. The staff are undermanned, yet trying their best to give the customers the best possible service. The Hotel has no GM. No Front Office manager, no Guest relations manager, etc etc. They are clearly taking the;4;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Leashy;Always great service and accomodation;My family and I have been coming to Mccura for over 9 years. It’s a great central location. We love the pools. The staff and the food is lovely. The rooms are always clean. They are bigger than most hotels. I’d like to particularly compliment Susie she has always made us feel very welcome and attended to any inq ry in a very professional manner to ensure we have an amazing stay. We have found the value exceeds many hotels we have experienced in Indonesia. Highly recommend this hotel a for a lovely holiday.;5;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Loki D;Fantastic location.;Lovely location and the hotel has what you need for a lovely stay. We had a pool room which I highly recommend as you don't have to share with anyone else. Staff always friendly and management were awesome.;4;0;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;Leasha A;Enjoy;Good view, pool is a big and has a nice on the top with a bar. The restaurant is nice, reception very friendly. You will received clear information. I came with friends and really enjoyed dinner and the pool.;5;1;1;0;0;0;0
Legian Kuta Bali;Merccure Bali Legian;raf e;Nice and comfortable stay;"Good location at a 10 minutes walk to the beach. Nice balcony, mine with view on the huge palm trees. The rooms and bathroom are spacious enough, bed was very comfortable. Maintenance was impeccable. The staff were very friendly on every level; reception desk, cleaning crew, security… The breakfast buffet could do with a little upgrade.";4;0;1;1;1;0;0
