travelCode,User_ID,Departure,Arrival,Assigned Hotel,Stars,Check-in Date,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Cost per Night,Amenities,Days of Stay,Total Cost,Check-Out Date
0,0,Coimbatore,Visakhapatnam,Treebo Trend Seaesta RK Beach,3,2019-09-26,Executive,5676.0,3,2,3,17028.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,51084.0,2019-09-29
2,0,Ranchi,Shillong,Ri Kynjai,4,2019-10-10,Suite,7935.0,3,0,2,15870.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,47610.0,2019-10-13
7,0,Dabolim,Ranchi,Chanakya BNR Hotel,5,2019-11-14,Executive,11340.0,4,0,2,22680.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service']",6,136080.0,2019-11-20
11,0,Ahmedabad,Raigarh,Hotel Trinity Grand,4,2019-12-12,Deluxe,6853.0,4,0,2,13706.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",3,41118.0,2019-12-15
13,0,Hyderabad,Kolkata,The Peerless Inn,3,2019-12-26,Deluxe,3421.0,1,0,1,3421.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",5,17105.0,2019-12-31
15,0,Khowai,Amritsar,Hotel Hong Kong Inn,3,2020-01-09,Deluxe,3385.0,2,2,2,6770.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",2,13540.0,2020-01-11
22,0,Navi Mumbai,Pune,Conrad Pune,5,2020-02-27,Suite,13830.0,2,0,1,13830.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",1,13830.0,2020-02-28
29,0,Pune,Mumbai,The Orchid Mumbai,4,2020-04-16,Suite,7916.0,1,0,1,7916.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,39580.0,2020-04-21
32,0,Khowai,Mumbai,Residency Hotel,3,2020-05-07,Executive,4009.0,3,3,3,12027.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",2,24054.0,2020-05-09
33,0,Navi Mumbai,Raipur,Hotel Simran,1,2020-05-14,Suite,1773.0,1,0,1,1773.0,"['Wi-Fi', 'Parking', 'Breakfast']",5,8865.0,2020-05-19
34,0,Vijayawada,Raigarh,Hotel Shubham Palace,5,2020-05-21,Suite,15567.0,1,2,1,15567.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",3,46701.0,2020-05-24
38,0,Ahmedabad,Srinagar,Vivanta Dal View,4,2020-06-18,Executive,7635.0,2,1,2,15270.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",5,76350.0,2020-06-23
39,0,Gwalior,Delhi NCR,Hotel Godwin Deluxe,2,2020-06-25,Deluxe,2467.0,4,0,2,4934.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker', 'Laundry']",6,29604.0,2020-07-01
42,0,Bengaluru,Raipur,Courtyard by Marriott Raipur,5,2020-07-16,Suite,12236.0,1,0,1,12236.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",1,12236.0,2020-07-17
43,0,Hyderabad,Ludhiana,Hotel Nanda,1,2020-07-24,Deluxe,2047.0,1,0,1,2047.0,"['Wi-Fi', 'Parking']",4,8188.0,2020-07-28
45,0,Guwahati,Raigarh,Hotel Trinity Grand,4,2020-08-06,Suite,9345.0,3,2,3,28035.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",2,56070.0,2020-08-08
51,0,Hyderabad,Raipur,Hotel Grand Arjun,2,2020-09-17,Suite,3021.0,1,0,1,3021.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",1,3021.0,2020-09-18
53,0,Bilaspur,Indore,Hotel Kalinga,2,2020-10-01,Suite,3027.0,1,0,1,3027.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",1,3027.0,2020-10-02
54,0,Raipur,Shillong,Tripura Castle,5,2020-10-08,Suite,13995.0,1,0,1,13995.0,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",4,55980.0,2020-10-12
