travelCode,User_ID,Car_rented,review_car,review_hotel,review_flights,flight_rating,hotel_rating,car_rating,overall_rating
0,0,Not Rented,null,Great value for money! Got a five-star experience at a reasonable price.,"It was a standard flight. Nothing wrong, but nothing exceptional either.",2,5,0,3.5
2,0,Not Rented,null,"The worst hotel stay ever! The room was dirty, and the sheets had stains.",The flight was on time and the staff was very courteous. Excellent experience!,5,1,0,3
7,0,Not Rented,null,"The staff was helpful, but service could have been a bit faster.","The flight was delayed for hours, and there was no apology or compensation.",2,2,0,2
11,0,Not Rented,null,"The location was convenient, but the surroundings were a bit noisy.","Had a smooth flight with no delays, and the food was surprisingly good.",5,2,0,3.5
13,0,Not Rented,null,"Terrible experience! The room was not clean, and the service was very slow.","The cabin was dirty, and the bathrooms were not properly maintained.",1,1,0,1
15,0,Not Rented,null,"The air conditioning barely worked, and it was too hot to sleep comfortably.","There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
22,0,Pending,Customer service was rude and unhelpful. Never renting from them again.,"The room was fine, but it didn’t quite match the pictures on the website.","The cabin was comfortable, but the food could have been better.",2,2,2,2
29,0,Not Rented,null,"The amenities were decent, but the hotel lacked a cozy, welcoming vibe.","The entertainment was decent, but I didn’t find anything to really enjoy.",3,3,0,3
32,0,Not Rented,null,The hotel’s spa was an absolute treat. Best massage I’ve ever had!,"It was a standard flight. Nothing wrong, but nothing exceptional either.",2,2,0,2
33,0,Not Rented,null,Loved the little touches like welcome drinks and personalized notes in the room.,"My flight was canceled, and I had to rebook. Customer service was helpful, though.",2,2,0,2
34,0,Not Rented,null,"The location was convenient, but the surroundings were a bit noisy.","The food was below average, and there were no special meal options available.",3,2,0,2.5
38,0,Not Rented,null,Staff was rude and unhelpful when I asked for extra towels.,"The check-in process was slow, and the staff seemed disorganized.",2,2,0,2
39,0,Not Rented,null,"The amenities were decent, but the hotel lacked a cozy, welcoming vibe.","The seats were cramped, and the flight was uncomfortable from start to finish.",2,3,0,2.5
42,0,Not Rented,null,"The room smelled musty, and the bathroom had mold in the corners!","Long flight, but the in-flight amenities made the journey more enjoyable.",2,2,0,2
43,0,Not Rented,null,The concierge was super helpful in arranging local tours and dinner reservations.,"My flight was canceled, and I had to rebook. Customer service was helpful, though.",2,2,0,2
45,0,Pending,"Returned the car full, but they still charged me for fuel! Scam!",The hotel restaurant was average—good food but a bit overpriced.,"I didn’t experience any issues, but it wasn’t a standout flight either.",2,3,2,2.333333333
51,0,Not Rented,null,"Service was okay, but I expected a bit more from a hotel of this rating.","I had to wait too long for boarding, and the staff was not helpful.",2,3,0,2.5
53,0,Not Rented,null,"The hotel was absolutely stunning! Clean rooms, excellent service, and a breathtaking view.","The crew was professional, but the flight felt standard and routine.",2,5,0,3.5
54,0,Not Rented,null,Breakfast selection was decent but could use more variety.,"The flight was on time, and the crew was polite, but overall it was just okay.",3,3,0,3
55,0,Not Rented,null,The Wi-Fi was so slow that I couldn’t even send an email!,"I didn’t experience any issues, but it wasn’t a standout flight either.",2,2,0,2
57,0,Not Rented,null,The concierge was super helpful in arranging local tours and dinner reservations.,Excellent in-flight experience with a wide selection of movies and shows.,5,2,0,3.5
60,0,Not Rented,null,"The hotel overbooked, and we had to wait hours for an available room.","The legroom was a bit tight, but everything else was great. I would fly again.",5,2,0,3.5
65,0,Not Rented,null,The Wi-Fi was so slow that I couldn’t even send an email!,"The flight was delayed, but the crew kept us informed and made sure we were comfortable.",2,2,0,2
73,0,Not Rented,null,"Check-in took longer than expected, but the staff was polite.","The airline met my expectations, but it wasn’t a memorable experience.",2,2,0,2
81,0,Not Rented,null,The staff went above and beyond to make our stay memorable. Will definitely return!,"It was a standard flight. Nothing wrong, but nothing exceptional either.",2,2,0,2
86,0,Not Rented,null,"Check-in took longer than expected, but the staff was polite.","The flight was a little bumpy, but overall, it was a pleasant experience.",2,2,0,2
87,0,Not Rented,null,"The hotel overbooked, and we had to wait hours for an available room.","The flight was uneventful, but the overall experience was just average.",3,2,0,2.5
90,1,Not Rented,null,The hotel restaurant was average—good food but a bit overpriced.,"The crew was very professional, and the flight was very smooth. Would fly again.",5,3,0,4
92,1,Not Rented,null,"Booked a king-size bed, but they gave me two single beds pushed together!","I didn’t experience any issues, but it wasn’t a standout flight either.",2,2,0,2
100,2,Not Rented,null,"The hotel was clean, but I felt like the decor was a little outdated.",Very comfortable flight with ample legroom. The entertainment options were good too.,2,2,0,2
101,2,Not Rented,null,"The hotel had a beautiful garden and outdoor seating area, perfect for unwinding.",Excellent in-flight experience with a wide selection of movies and shows.,5,2,0,3.5
105,2,Not Rented,null,"The hotel was clean, but I felt like the decor was a little outdated.","The service was okay, but I expected a bit more for the price.",3,2,0,2.5
108,2,Not Rented,null,"Fast and free Wi-Fi, perfect for both business and leisure travelers.","There was no Wi-Fi on the flight, and the entertainment options were limited.",2,2,0,2
