air_booking_id,pax_id,flight_number,departure_city,arrival_city,departure_date,return_date,seat_class,booking_status,payment_method,transaction_amount
AB00001,PAX00001,FL795,Jenniferchester,Robertsfort,03/12/2024,18/12/2024,Economy,Pending,UPI,1367.07
AB00002,PAX00002,FL287,Port Bruceborough,East Sharon,11/01/2024,24/01/2024,First Class,Confirmed,UPI,1293.24
AB00003,PAX00003,FL752,North Thomasfort,Davidhaven,25/08/2024,20/09/2025,Economy,Confirmed,PayPal,223.58
AB00004,PAX00004,FL721,North Brandonstad,Mccarthystad,08/01/2024,17/02/2024,First Class,Confirmed,Net Banking,1201.49
AB00005,PAX00005,FL229,Crystalmouth,Andrewfurt,16/12/2023,18/12/2023,Economy,Pending,UPI,643.14
AB00006,PAX00006,FL572,Greerside,Sabrinachester,04/03/2023,,Business,Pending,PayPal,1324.11
AB00007,PAX00007,FL778,West Tommyview,Larsontown,04/10/2023,24/01/2026,First Class,Confirmed,Credit Card,1000.5
AB00008,PAX00008,FL553,New Matthew,South Cherylborough,12/05/2024,11/07/2025,Economy,Pending,UPI,136.84
AB00009,PAX00009,FL509,Vasquezland,Port Heidi,11/07/2023,16/08/2023,First Class,Canceled,Credit Card,781.07
AB00010,PAX00010,FL888,Lake Marymouth,New Melanie,19/04/2023,13/08/2025,First Class,Canceled,Net Banking,1051.85
AB00011,PAX00011,FL610,Annshire,Jessicatown,18/03/2023,15/05/2023,Economy,Pending,UPI,663.18
AB00012,PAX00012,FL836,East Lindatown,North Amandaland,11/05/2024,12/06/2024,Business,No-Show,Credit Card,653.89
AB00013,PAX00013,FL113,Nicholsshire,Frederickbury,02/05/2024,30/05/2024,Economy,Pending,UPI,208.76
AB00014,PAX00014,FL767,North Steveland,Lake Angela,08/04/2024,02/10/2025,First Class,No-Show,Credit Card,1463.49
AB00015,PAX00015,FL604,Rileystad,South Brenda,06/03/2023,28/03/2023,First Class,Canceled,PayPal,184.2
AB00016,PAX00016,FL282,Lisaport,Morrisonstad,22/12/2023,23/12/2023,Economy,Confirmed,PayPal,461.89
AB00017,PAX00017,FL225,Nicholsbury,Lake Heidi,19/02/2024,22/05/2025,First Class,Pending,UPI,447.77
AB00018,PAX00018,FL809,West Williamburgh,New Brendafort,11/12/2024,20/08/2025,First Class,Pending,Net Banking,501.41
AB00019,PAX00019,FL167,East Kari,Port Barbara,04/08/2023,21/08/2023,Business,Confirmed,Net Banking,911.9
AB00020,PAX00020,FL878,Lake Richardtown,East Rebecca,23/07/2024,23/12/2025,Economy,Confirmed,Credit Card,591.22
AB00021,PAX00021,FL283,North Erinberg,Miguelport,26/07/2023,08/08/2023,First Class,Confirmed,PayPal,835.02
AB00022,PAX00022,FL435,Lake Beverly,Brownmouth,18/09/2023,26/09/2023,First Class,No-Show,UPI,1467.98
AB00023,PAX00023,FL399,Rodgerstown,Amandaside,24/09/2024,16/10/2024,Business,Confirmed,UPI,1142.86
AB00024,PAX00024,FL604,New Wendy,East Brianhaven,09/08/2023,23/08/2023,Business,No-Show,UPI,1424.53
AB00025,PAX00025,FL800,Batestown,Margaretside,21/04/2023,13/04/2025,Business,Confirmed,PayPal,1422.52
AB00026,PAX00026,FL136,East Diamondtown,South Laurahaven,06/06/2023,,Economy,Canceled,Credit Card,1267.97
AB00027,PAX00027,FL658,Lake Heidibury,Lake Davidberg,27/02/2023,22/07/2025,Economy,No-Show,PayPal,738.05
AB00028,PAX00028,FL691,Hughestown,Kellyton,05/03/2024,12/02/2025,Economy,No-Show,Net Banking,215.03
AB00029,PAX00029,FL439,East Elizabethberg,Johnsonland,03/02/2023,18/02/2023,Economy,Canceled,Net Banking,450.81
AB00030,PAX00030,FL270,Justinberg,New Alexisborough,31/03/2023,11/04/2023,Business,Confirmed,UPI,670.39
AB00031,PAX00031,FL271,Lake Fernandofort,Port Mckenzie,19/06/2024,22/07/2024,First Class,Confirmed,Credit Card,1347.03
AB00032,PAX00032,FL436,East Robertville,East Shannonside,06/04/2023,06/09/2025,Business,Pending,PayPal,543.14
AB00033,PAX00033,FL390,West Madison,West Crystal,01/02/2023,14/08/2025,Economy,Pending,UPI,112.08
AB00034,PAX00034,FL238,Nguyenmouth,Frostfort,18/11/2023,12/02/2025,Economy,No-Show,UPI,1450.17
AB00035,PAX00035,FL501,Joneschester,South Kathleen,18/01/2024,28/01/2024,Economy,Canceled,Net Banking,1326.72
AB00036,PAX00036,FL202,Andrewside,Lindseyshire,29/09/2024,05/10/2024,Business,Confirmed,UPI,1356.97
AB00037,PAX00037,FL174,Clarketon,Tiffanyshire,15/10/2023,11/12/2023,Economy,Confirmed,UPI,371.16
AB00038,PAX00038,FL301,West Brianton,Ralphmouth,25/06/2023,30/07/2023,Economy,Pending,PayPal,1016.58
AB00039,PAX00039,FL470,Lake Justinmouth,Port Allisontown,24/06/2024,08/07/2024,Economy,Pending,PayPal,228.06
AB00040,PAX00040,FL161,Lauraberg,Lake Paulview,29/10/2024,17/12/2024,Business,Pending,PayPal,571.73
AB00041,PAX00041,FL914,New Jamesberg,Cuevashaven,15/04/2023,19/04/2023,Business,No-Show,PayPal,745.65
AB00042,PAX00042,FL646,Brianstad,New Davidfurt,07/01/2025,09/02/2025,Business,Canceled,UPI,548.21
AB00043,PAX00043,FL299,North Briannaport,Brandonburgh,13/07/2023,26/08/2023,Business,Canceled,Credit Card,986.43
AB00044,PAX00044,FL697,Georgeborough,Nicholaston,09/05/2024,22/05/2025,Economy,No-Show,PayPal,103.87
AB00045,PAX00045,FL358,West Joshuashire,Susanside,09/05/2024,04/06/2024,First Class,Confirmed,PayPal,1490.62
AB00046,PAX00046,FL357,Parkerchester,Lake Donna,10/08/2023,25/05/2025,Economy,Pending,PayPal,1210.88
AB00047,PAX00047,FL593,North Ashleyburgh,Tracytown,20/03/2023,26/03/2023,Business,Pending,Credit Card,410.18
AB00048,PAX00048,FL468,Rosalesland,South Kaylatown,27/08/2024,06/11/2025,Economy,No-Show,UPI,1315.6
AB00049,PAX00049,FL907,New Michael,Nealstad,21/05/2023,17/07/2023,Economy,Confirmed,Net Banking,496.36
AB00050,PAX00050,FL712,Jonesport,Ingramville,23/04/2024,09/11/2025,Business,No-Show,Credit Card,810.8
AB00051,PAX00051,FL734,Port Elizabeth,Richardchester,23/09/2024,17/03/2025,Economy,Pending,UPI,158.61
AB00052,PAX00052,FL346,Monicatown,Lake Larrystad,04/11/2023,12/07/2025,Economy,No-Show,Credit Card,644.25
AB00053,PAX00053,FL397,West Breanna,Jimenezchester,30/03/2024,19/04/2024,Business,Canceled,Credit Card,154.43
AB00054,PAX00054,FL839,New Jasonmouth,Lisaberg,30/08/2023,10/10/2023,Business,Confirmed,PayPal,1488.08
AB00055,PAX00055,FL472,South Davidview,Smithberg,04/03/2023,,First Class,Confirmed,PayPal,758.68
AB00056,PAX00056,FL269,Ruthport,East Jessica,01/02/2023,19/03/2023,Economy,Confirmed,UPI,520.9
AB00057,PAX00057,FL552,Garciamouth,Annetteland,28/04/2023,27/04/2025,Economy,Confirmed,UPI,633.03
AB00058,PAX00058,FL907,South Jamesmouth,North Gerald,23/06/2024,04/08/2024,First Class,No-Show,Net Banking,965.03
AB00059,PAX00059,FL189,South Susan,Josephborough,22/04/2024,02/04/2025,First Class,Pending,PayPal,612.59
AB00060,PAX00060,FL143,West Karenstad,New Michael,05/02/2024,01/05/2025,Business,Confirmed,Credit Card,1061.86
AB00061,PAX00061,FL799,New Hannah,Lake Matthew,20/01/2024,22/02/2024,First Class,Confirmed,PayPal,1238.04
AB00062,PAX00062,FL313,Christophershire,West Donaldmouth,20/08/2023,21/09/2023,Economy,Pending,UPI,491.2
