guest_id,pax_id,special_requests,frequent_stay_hotel
GUEST00001,PAX00001,Early Check-in,HOTEL211
GUEST00002,PAX00002,None,HOTEL90
GUEST00003,PAX00003,Late Check-out,HOTEL270
GUEST00004,PAX00004,Extra Bed,HOTEL263
GUEST00005,PAX00005,None,HOTEL145
GUEST00006,PAX00006,Late Check-out,HOTEL278
GUEST00007,PAX00007,None,HOTEL385
GUEST00008,PAX00008,Early Check-in,HOTEL409
GUEST00009,PAX00009,None,HOTEL361
GUEST00010,PAX00010,Early Check-in,HOTEL472
GUEST00011,PAX00011,Extra Bed,HOTEL375
GUEST00012,PAX00012,Extra Bed,HOTEL126
GUEST00013,PAX00013,Late Check-out,HOTEL448
GUEST00014,PAX00014,Early Check-in,HOTEL479
GUEST00015,PAX00015,Extra Bed,HOTEL162
GUEST00016,PAX00016,Early Check-in,HOTEL470
GUEST00017,PAX00017,Late Check-out,HOTEL469
GUEST00018,PAX00018,Extra Bed,HOTEL346
GUEST00019,PAX00019,Late Check-out,HOTEL278
GUEST00020,PAX00020,None,HOTEL270
GUEST00021,PAX00021,Early Check-in,HOTEL146
GUEST00022,PAX00022,Late Check-out,HOTEL221
GUEST00023,PAX00023,Late Check-out,HOTEL384
GUEST00024,PAX00024,Early Check-in,HOTEL198
GUEST00025,PAX00025,Early Check-in,HOTEL277
GUEST00026,PAX00026,Late Check-out,HOTEL34
GUEST00027,PAX00027,None,HOTEL347
GUEST00028,PAX00028,Extra Bed,HOTEL76
GUEST00029,PAX00029,Extra Bed,HOTEL14
GUEST00030,PAX00030,Late Check-out,HOTEL114
GUEST00031,PAX00031,None,HOTEL347
GUEST00032,PAX00032,Late Check-out,HOTEL446
GUEST00033,PAX00033,Early Check-in,HOTEL305
GUEST00034,PAX00034,Early Check-in,HOTEL260
GUEST00035,PAX00035,Late Check-out,HOTEL385
GUEST00036,PAX00036,None,HOTEL318
GUEST00037,PAX00037,Late Check-out,HOTEL216
GUEST00038,PAX00038,Extra Bed,HOTEL239
GUEST00039,PAX00039,None,HOTEL111
GUEST00040,PAX00040,None,HOTEL311
GUEST00041,PAX00041,Late Check-out,HOTEL24
GUEST00042,PAX00042,Late Check-out,HOTEL39
GUEST00043,PAX00043,Extra Bed,HOTEL126
GUEST00044,PAX00044,Extra Bed,HOTEL241
GUEST00045,PAX00045,Late Check-out,HOTEL137
GUEST00046,PAX00046,Late Check-out,HOTEL249
GUEST00047,PAX00047,Extra Bed,HOTEL36
GUEST00048,PAX00048,None,HOTEL462
GUEST00049,PAX00049,None,HOTEL409
GUEST00050,PAX00050,Late Check-out,HOTEL323
GUEST00051,PAX00051,Early Check-in,HOTEL305
GUEST00052,PAX00052,None,HOTEL283
GUEST00053,PAX00053,Early Check-in,HOTEL203
GUEST00054,PAX00054,None,HOTEL94
GUEST00055,PAX00055,Extra Bed,HOTEL204
GUEST00056,PAX00056,Extra Bed,HOTEL452
GUEST00057,PAX00057,Late Check-out,HOTEL139
GUEST00058,PAX00058,None,HOTEL278
GUEST00059,PAX00059,Late Check-out,HOTEL407
GUEST00060,PAX00060,None,HOTEL380
GUEST00061,PAX00061,None,HOTEL60
GUEST00062,PAX00062,Extra Bed,HOTEL354
GUEST00063,PAX00063,Early Check-in,HOTEL477
GUEST00064,PAX00064,None,HOTEL54
GUEST00065,PAX00065,None,HOTEL182
GUEST00066,PAX00066,Extra Bed,HOTEL479
GUEST00067,PAX00067,Late Check-out,HOTEL360
GUEST00068,PAX00068,Extra Bed,HOTEL185
GUEST00069,PAX00069,Late Check-out,HOTEL443
GUEST00070,PAX00070,Early Check-in,HOTEL347
GUEST00071,PAX00071,Extra Bed,HOTEL188
GUEST00072,PAX00072,Late Check-out,HOTEL354
GUEST00073,PAX00073,Extra Bed,HOTEL350
GUEST00074,PAX00074,Extra Bed,HOTEL271
GUEST00075,PAX00075,Early Check-in,HOTEL449
GUEST00076,PAX00076,Early Check-in,HOTEL178
GUEST00077,PAX00077,Extra Bed,HOTEL465
GUEST00078,PAX00078,Late Check-out,HOTEL285
GUEST00079,PAX00079,Extra Bed,HOTEL203
GUEST00080,PAX00080,Extra Bed,HOTEL80
GUEST00081,PAX00081,None,HOTEL304
GUEST00082,PAX00082,None,HOTEL138
GUEST00083,PAX00083,None,HOTEL219
GUEST00084,PAX00084,Early Check-in,HOTEL500
GUEST00085,PAX00085,Early Check-in,HOTEL413
GUEST00086,PAX00086,None,HOTEL391
GUEST00087,PAX00087,Late Check-out,HOTEL361
GUEST00088,PAX00088,Late Check-out,HOTEL237
GUEST00089,PAX00089,Late Check-out,HOTEL335
GUEST00090,PAX00090,Extra Bed,HOTEL209
GUEST00091,PAX00091,None,HOTEL121
GUEST00092,PAX00092,None,HOTEL192
GUEST00093,PAX00093,None,HOTEL328
GUEST00094,PAX00094,Late Check-out,HOTEL240
GUEST00095,PAX00095,Late Check-out,HOTEL176
GUEST00096,PAX00096,Early Check-in,HOTEL197
GUEST00097,PAX00097,Early Check-in,HOTEL371
GUEST00098,PAX00098,Early Check-in,HOTEL213
GUEST00099,PAX00099,Early Check-in,HOTEL458
GUEST00100,PAX00100,Late Check-out,HOTEL493
GUEST00101,PAX00101,Late Check-out,HOTEL425
GUEST00102,PAX00102,Late Check-out,HOTEL271
GUEST00103,PAX00103,Early Check-in,HOTEL449
GUEST00104,PAX00104,Extra Bed,HOTEL427
GUEST00105,PAX00105,Late Check-out,HOTEL286
GUEST00106,PAX00106,None,HOTEL17
GUEST00107,PAX00107,None,HOTEL31
GUEST00108,PAX00108,Late Check-out,HOTEL152
GUEST00109,PAX00109,None,HOTEL106
GUEST00110,PAX00110,Early Check-in,HOTEL358
GUEST00111,PAX00111,Early Check-in,HOTEL195
GUEST00112,PAX00112,Late Check-out,HOTEL82
GUEST00113,PAX00113,None,HOTEL8
GUEST00114,PAX00114,Extra Bed,HOTEL89
GUEST00115,PAX00115,Late Check-out,HOTEL80
GUEST00116,PAX00116,Late Check-out,HOTEL252
GUEST00117,PAX00117,Late Check-out,HOTEL121
GUEST00118,PAX00118,Early Check-in,HOTEL121
GUEST00119,PAX00119,Extra Bed,HOTEL267
GUEST00120,PAX00120,Extra Bed,HOTEL141
GUEST00121,PAX00121,Late Check-out,HOTEL366
GUEST00122,PAX00122,Early Check-in,HOTEL322
GUEST00123,PAX00123,Late Check-out,HOTEL354
GUEST00124,PAX00124,Extra Bed,HOTEL364
GUEST00125,PAX00125,Early Check-in,HOTEL341
GUEST00126,PAX00126,None,HOTEL355
GUEST00127,PAX00127,None,HOTEL403
GUEST00128,PAX00128,Early Check-in,HOTEL380
GUEST00129,PAX00129,None,HOTEL6
GUEST00130,PAX00130,Late Check-out,HOTEL286
GUEST00131,PAX00131,Late Check-out,HOTEL279
GUEST00132,PAX00132,Late Check-out,HOTEL325
GUEST00133,PAX00133,None,HOTEL233
GUEST00134,PAX00134,Early Check-in,HOTEL241
GUEST00135,PAX00135,Extra Bed,HOTEL310
GUEST00136,PAX00136,None,HOTEL14
GUEST00137,PAX00137,None,HOTEL494
GUEST00138,PAX00138,Late Check-out,HOTEL291
GUEST00139,PAX00139,Extra Bed,HOTEL297
GUEST00140,PAX00140,None,HOTEL63
GUEST00141,PAX00141,None,HOTEL338
GUEST00142,PAX00142,Extra Bed,HOTEL387
GUEST00143,PAX00143,Extra Bed,HOTEL472
GUEST00144,PAX00144,Early Check-in,HOTEL299
GUEST00145,PAX00145,None,HOTEL45
GUEST00146,PAX00146,Extra Bed,HOTEL430
GUEST00147,PAX00147,None,HOTEL184
GUEST00148,PAX00148,Extra Bed,HOTEL229
GUEST00149,PAX00149,Extra Bed,HOTEL228
GUEST00150,PAX00150,Early Check-in,HOTEL50
GUEST00151,PAX00151,Extra Bed,HOTEL371
GUEST00152,PAX00152,Extra Bed,HOTEL341
GUEST00153,PAX00153,Late Check-out,HOTEL236
GUEST00154,PAX00154,Late Check-out,HOTEL314
GUEST00155,PAX00155,Early Check-in,HOTEL72
GUEST00156,PAX00156,None,HOTEL3
GUEST00157,PAX00157,Extra Bed,HOTEL165
GUEST00158,PAX00158,None,HOTEL159
GUEST00159,PAX00159,None,HOTEL355
GUEST00160,PAX00160,Extra Bed,HOTEL265
GUEST00161,PAX00161,None,HOTEL62
GUEST00162,PAX00162,Extra Bed,HOTEL271
GUEST00163,PAX00163,Early Check-in,HOTEL97
GUEST00164,PAX00164,Extra Bed,HOTEL492
GUEST00165,PAX00165,Extra Bed,HOTEL146
GUEST00166,PAX00166,None,HOTEL412
GUEST00167,PAX00167,Early Check-in,HOTEL324
GUEST00168,PAX00168,Early Check-in,HOTEL327
GUEST00169,PAX00169,Early Check-in,HOTEL415
GUEST00170,PAX00170,None,HOTEL328
GUEST00171,PAX00171,Extra Bed,HOTEL3
GUEST00172,PAX00172,None,HOTEL42
GUEST00173,PAX00173,None,HOTEL229
GUEST00174,PAX00174,None,HOTEL288
GUEST00175,PAX00175,Early Check-in,HOTEL93
GUEST00176,PAX00176,Early Check-in,HOTEL115
GUEST00177,PAX00177,None,HOTEL484
GUEST00178,PAX00178,Extra Bed,HOTEL226
GUEST00179,PAX00179,Early Check-in,HOTEL192
GUEST00180,PAX00180,Early Check-in,HOTEL352
GUEST00181,PAX00181,Late Check-out,HOTEL471
GUEST00182,PAX00182,Early Check-in,HOTEL102
GUEST00183,PAX00183,Early Check-in,HOTEL109
GUEST00184,PAX00184,None,HOTEL112
GUEST00185,PAX00185,None,HOTEL269
GUEST00186,PAX00186,Early Check-in,HOTEL452
GUEST00187,PAX00187,Early Check-in,HOTEL274
GUEST00188,PAX00188,Late Check-out,HOTEL9
GUEST00189,PAX00189,None,HOTEL114
GUEST00190,PAX00190,Early Check-in,HOTEL134
GUEST00191,PAX00191,Extra Bed,HOTEL365
GUEST00192,PAX00192,Extra Bed,HOTEL370
GUEST00193,PAX00193,Extra Bed,HOTEL293
GUEST00194,PAX00194,Extra Bed,HOTEL122
GUEST00195,PAX00195,Extra Bed,HOTEL409
GUEST00196,PAX00196,Early Check-in,HOTEL317
GUEST00197,PAX00197,None,HOTEL497
GUEST00198,PAX00198,Extra Bed,HOTEL429
GUEST00199,PAX00199,Late Check-out,HOTEL121
GUEST00200,PAX00200,Late Check-out,HOTEL88
GUEST00201,PAX00201,None,HOTEL474
GUEST00202,PAX00202,None,HOTEL278
GUEST00203,PAX00203,Extra Bed,HOTEL235
GUEST00204,PAX00204,Extra Bed,HOTEL30
GUEST00205,PAX00205,Extra Bed,HOTEL494
GUEST00206,PAX00206,Late Check-out,HOTEL164
GUEST00207,PAX00207,Extra Bed,HOTEL144
GUEST00208,PAX00208,None,HOTEL450
GUEST00209,PAX00209,Extra Bed,HOTEL301
GUEST00210,PAX00210,Early Check-in,HOTEL66
GUEST00211,PAX00211,None,HOTEL248
GUEST00212,PAX00212,Late Check-out,HOTEL50
GUEST00213,PAX00213,Extra Bed,HOTEL94
GUEST00214,PAX00214,Late Check-out,HOTEL73
GUEST00215,PAX00215,Early Check-in,HOTEL250
GUEST00216,PAX00216,Early Check-in,HOTEL288
GUEST00217,PAX00217,Late Check-out,HOTEL160
GUEST00218,PAX00218,None,HOTEL171
GUEST00219,PAX00219,Late Check-out,HOTEL372
GUEST00220,PAX00220,Extra Bed,HOTEL188
GUEST00221,PAX00221,Extra Bed,HOTEL120
GUEST00222,PAX00222,Early Check-in,HOTEL316
GUEST00223,PAX00223,None,HOTEL223
GUEST00224,PAX00224,Late Check-out,HOTEL288
GUEST00225,PAX00225,Early Check-in,HOTEL314
GUEST00226,PAX00226,Extra Bed,HOTEL359
GUEST00227,PAX00227,None,HOTEL351
GUEST00228,PAX00228,None,HOTEL199
GUEST00229,PAX00229,Late Check-out,HOTEL353
GUEST00230,PAX00230,None,HOTEL386
GUEST00231,PAX00231,Late Check-out,HOTEL116
GUEST00232,PAX00232,Late Check-out,HOTEL313
GUEST00233,PAX00233,Extra Bed,HOTEL8
GUEST00234,PAX00234,Late Check-out,HOTEL48
GUEST00235,PAX00235,Late Check-out,HOTEL201
GUEST00236,PAX00236,Late Check-out,HOTEL279
GUEST00237,PAX00237,Late Check-out,HOTEL114
GUEST00238,PAX00238,Early Check-in,HOTEL429
GUEST00239,PAX00239,Late Check-out,HOTEL425
GUEST00240,PAX00240,None,HOTEL269
GUEST00241,PAX00241,Extra Bed,HOTEL415
GUEST00242,PAX00242,Early Check-in,HOTEL67
GUEST00243,PAX00243,None,HOTEL305
GUEST00244,PAX00244,Late Check-out,HOTEL289
GUEST00245,PAX00245,Early Check-in,HOTEL460
GUEST00246,PAX00246,Early Check-in,HOTEL61
GUEST00247,PAX00247,Late Check-out,HOTEL27
GUEST00248,PAX00248,None,HOTEL211
GUEST00249,PAX00249,Late Check-out,HOTEL139
GUEST00250,PAX00250,Late Check-out,HOTEL111
GUEST00251,PAX00251,None,HOTEL313
GUEST00252,PAX00252,Early Check-in,HOTEL136
GUEST00253,PAX00253,Extra Bed,HOTEL407
GUEST00254,PAX00254,None,HOTEL406
GUEST00255,PAX00255,Late Check-out,HOTEL193
GUEST00256,PAX00256,None,HOTEL427
GUEST00257,PAX00257,Early Check-in,HOTEL382
GUEST00258,PAX00258,Early Check-in,HOTEL102
GUEST00259,PAX00259,Extra Bed,HOTEL242
GUEST00260,PAX00260,Late Check-out,HOTEL392
GUEST00261,PAX00261,Late Check-out,HOTEL51
GUEST00262,PAX00262,Early Check-in,HOTEL312
GUEST00263,PAX00263,Extra Bed,HOTEL485
GUEST00264,PAX00264,Early Check-in,HOTEL356
GUEST00265,PAX00265,Extra Bed,HOTEL441
GUEST00266,PAX00266,Late Check-out,HOTEL246
GUEST00267,PAX00267,Early Check-in,HOTEL5
GUEST00268,PAX00268,Late Check-out,HOTEL262
GUEST00269,PAX00269,None,HOTEL121
GUEST00270,PAX00270,Early Check-in,HOTEL148
GUEST00271,PAX00271,Late Check-out,HOTEL205
GUEST00272,PAX00272,Extra Bed,HOTEL195
GUEST00273,PAX00273,Late Check-out,HOTEL371
GUEST00274,PAX00274,Early Check-in,HOTEL285
GUEST00275,PAX00275,Early Check-in,HOTEL126
GUEST00276,PAX00276,None,HOTEL251
GUEST00277,PAX00277,Late Check-out,HOTEL1
GUEST00278,PAX00278,Late Check-out,HOTEL203
GUEST00279,PAX00279,None,HOTEL25
GUEST00280,PAX00280,None,HOTEL138
GUEST00281,PAX00281,Late Check-out,HOTEL311
GUEST00282,PAX00282,Late Check-out,HOTEL178
GUEST00283,PAX00283,None,HOTEL427
GUEST00284,PAX00284,Late Check-out,HOTEL269
GUEST00285,PAX00285,Late Check-out,HOTEL447
GUEST00286,PAX00286,Late Check-out,HOTEL129
GUEST00287,PAX00287,Late Check-out,HOTEL352
GUEST00288,PAX00288,None,HOTEL451
GUEST00289,PAX00289,Late Check-out,HOTEL330
GUEST00290,PAX00290,Late Check-out,HOTEL336
GUEST00291,PAX00291,None,HOTEL83
GUEST00292,PAX00292,Early Check-in,HOTEL154
GUEST00293,PAX00293,Late Check-out,HOTEL160
GUEST00294,PAX00294,None,HOTEL198
GUEST00295,PAX00295,None,HOTEL52
GUEST00296,PAX00296,None,HOTEL149
GUEST00297,PAX00297,Extra Bed,HOTEL445
GUEST00298,PAX00298,Extra Bed,HOTEL398
GUEST00299,PAX00299,Early Check-in,HOTEL19
GUEST00300,PAX00300,Extra Bed,HOTEL338
GUEST00301,PAX00301,Early Check-in,HOTEL375
GUEST00302,PAX00302,None,HOTEL184
GUEST00303,PAX00303,None,HOTEL443
GUEST00304,PAX00304,None,HOTEL79
GUEST00305,PAX00305,Early Check-in,HOTEL120
GUEST00306,PAX00306,Extra Bed,HOTEL107
GUEST00307,PAX00307,Extra Bed,HOTEL426
GUEST00308,PAX00308,None,HOTEL2
GUEST00309,PAX00309,Extra Bed,HOTEL479
GUEST00310,PAX00310,Late Check-out,HOTEL443
GUEST00311,PAX00311,None,HOTEL35
GUEST00312,PAX00312,None,HOTEL343
GUEST00313,PAX00313,None,HOTEL400
GUEST00314,PAX00314,Early Check-in,HOTEL9
GUEST00315,PAX00315,Extra Bed,HOTEL91
GUEST00316,PAX00316,Extra Bed,HOTEL117
GUEST00317,PAX00317,None,HOTEL353
GUEST00318,PAX00318,None,HOTEL89
GUEST00319,PAX00319,Extra Bed,HOTEL146
GUEST00320,PAX00320,Late Check-out,HOTEL223
GUEST00321,PAX00321,Early Check-in,HOTEL12
GUEST00322,PAX00322,None,HOTEL134
GUEST00323,PAX00323,Extra Bed,HOTEL148
