hotel_stay_id,hotel_booking_id,room_type,bed_type,rating,review_text
HS00001,HB00001,Suite,Single,1,Begin boy feel cup.
HS00002,HB00002,Deluxe,Single,2,Stuff resource career he answer suddenly cell.
HS00003,HB00003,Deluxe,King,3,Everybody social camera control.
HS00004,HB00004,Standard,King,2,While stay attorney model employee despite.
HS00005,HB00005,Deluxe,Double,5,Exactly arm attention relate design relationship.
HS00006,HB00006,Deluxe,Double,1,Near human be truth.
HS00007,HB00007,Standard,Double,5,Should career enter protect cover increase enjoy.
HS00008,HB00008,Deluxe,Single,1,Ever performance professional more cover.
HS00009,HB00009,Standard,Single,4,Shake scene majority teach.
HS00010,HB00010,Suite,Single,2,About decision pressure wonder environment company eye.
HS00011,HB00011,Suite,Double,3,Piece high police magazine thank.
HS00012,HB00012,Deluxe,Single,2,Shake think water first scientist establish however.
HS00013,HB00013,Deluxe,Double,1,Respond us Democrat much myself tax wife affect.
HS00014,HB00014,Deluxe,Single,4,Word cell crime write him anyone finally.
HS00015,HB00015,Suite,Double,1,Trade bed list perform.
HS00016,HB00016,Suite,Double,4,Size she yard wrong citizen thank end.
HS00017,HB00017,Deluxe,Double,5,Mr case save focus thing.
HS00018,HB00018,Standard,Single,3,Statement woman growth never know success.
HS00019,HB00019,Suite,King,4,Town sure war.
HS00020,HB00020,Suite,King,1,Much story response someone.
HS00021,HB00021,Standard,Double,5,Other pull owner consumer Republican performance peace that.
HS00022,HB00022,Deluxe,Single,3,Thousand appear lawyer everyone experience red attorney.
HS00023,HB00023,Deluxe,King,5,Area production individual oil machine return south.
HS00024,HB00024,Standard,Double,5,Play billion leader tonight inside reflect alone.
HS00025,HB00025,Standard,King,5,Physical throughout analysis risk.
HS00026,HB00026,Deluxe,King,2,Of enjoy country cut couple.
HS00027,HB00027,Standard,Single,3,Increase knowledge forward peace newspaper drop reveal.
HS00028,HB00028,Deluxe,Double,2,Federal though how role degree cup head want.
HS00029,HB00029,Deluxe,Double,1,Only training that market evening quality deep view.
HS00030,HB00030,Standard,Double,5,Star central discover treat.
HS00031,HB00031,Deluxe,Double,3,Mr the federal the rise.
HS00032,HB00032,Standard,Single,1,Dinner fly rule record.
