hotel_booking_id,pax_id,hotel_id,check_in_date,check_out_date,num_of_guests,booking_status,payment_method,currency,transaction_amount
HB00001,PAX00001,HOTEL412,2023-04-28,2025-10-19,2,Canceled,Credit Card,INR,378.76
HB00002,PAX00002,HOTEL145,2024-04-21,2026-01-14,5,Canceled,PayPal,INR,117.33
HB00003,PAX00003,HOTEL308,2024-03-21,2025-11-20,1,Pending,PayPal,INR,116.06
HB00004,PAX00004,HOTEL114,2024-09-02,2025-12-21,1,No-Show,PayPal,GBP,414.47
HB00005,PAX00005,HOTEL426,2024-11-10,2025-08-18,3,No-Show,Net Banking,GBP,57.32
HB00006,PAX00006,HOTEL140,2024-08-13,2026-01-13,4,No-Show,Net Banking,GBP,336.52
HB00007,PAX00007,HOTEL173,2023-11-22,2025-04-11,2,Canceled,Credit Card,GBP,352.17
HB00008,PAX00008,HOTEL51,2024-09-30,2026-01-08,3,No-Show,Net Banking,GBP,100.75
HB00009,PAX00009,HOTEL176,2024-01-28,2025-02-17,5,Pending,Credit Card,EUR,253.03
HB00010,PAX00010,HOTEL27,2023-02-16,2025-08-14,5,Canceled,PayPal,USD,337.45
HB00011,PAX00011,HOTEL482,2024-12-15,2025-09-15,3,Canceled,Credit Card,GBP,287.11
HB00012,PAX00012,HOTEL80,2024-03-12,2025-04-28,4,Confirmed,UPI,INR,244.16
HB00013,PAX00013,HOTEL168,2023-12-27,2025-12-13,5,Confirmed,Credit Card,GBP,285.98
HB00014,PAX00014,HOTEL56,2025-01-28,2025-09-15,3,No-Show,Net Banking,INR,493.33
HB00015,PAX00015,HOTEL309,2023-03-16,2025-04-26,5,No-Show,Net Banking,GBP,220.38
HB00016,PAX00016,HOTEL303,2024-02-18,2025-10-29,1,Pending,Credit Card,EUR,66.12
HB00017,PAX00017,HOTEL416,2023-07-20,2025-06-16,5,Canceled,Net Banking,USD,330.33
HB00018,PAX00018,HOTEL47,2023-10-09,2025-05-02,3,Confirmed,Credit Card,USD,199.56
HB00019,PAX00019,HOTEL79,2024-05-11,2025-06-27,4,Confirmed,Net Banking,INR,241.25
HB00020,PAX00020,HOTEL141,2024-12-17,2025-04-20,5,No-Show,Credit Card,INR,140.93
HB00021,PAX00021,HOTEL231,2024-06-05,2025-11-04,5,Canceled,PayPal,USD,262.02
HB00022,PAX00022,HOTEL54,2024-02-15,2025-09-03,4,Confirmed,UPI,USD,298.25
HB00023,PAX00023,HOTEL54,2024-06-18,2025-10-09,2,No-Show,UPI,EUR,181.75
HB00024,PAX00024,HOTEL97,2024-01-11,2025-06-21,2,Pending,UPI,USD,188.48
HB00025,PAX00025,HOTEL493,2023-03-18,2025-10-16,3,No-Show,Net Banking,GBP,493.58
HB00026,PAX00026,HOTEL457,2024-04-26,2026-01-01,5,No-Show,PayPal,EUR,147.77
HB00027,PAX00027,HOTEL458,2024-10-13,2025-08-02,5,No-Show,UPI,GBP,344.78
HB00028,PAX00028,HOTEL378,2023-02-27,2025-09-25,4,Pending,PayPal,EUR,161.82
HB00029,PAX00029,HOTEL449,2023-01-30,2025-02-26,1,No-Show,Credit Card,EUR,348.17
HB00030,PAX00030,HOTEL129,2024-05-14,2025-07-12,5,Confirmed,Net Banking,EUR,484.2
HB00031,PAX00031,HOTEL257,2024-03-12,2025-10-30,2,Confirmed,Net Banking,EUR,400.86
HB00032,PAX00032,HOTEL197,2023-10-03,2025-12-22,4,Confirmed,Net Banking,GBP,141.07
HB00033,PAX00033,HOTEL96,2023-08-28,2025-02-23,1,Confirmed,UPI,INR,279.11
HB00034,PAX00034,HOTEL42,2024-10-23,2025-09-21,5,Pending,Net Banking,GBP,60.96
HB00035,PAX00035,HOTEL156,2023-02-05,2025-11-20,4,Pending,PayPal,GBP,403.74
HB00036,PAX00036,HOTEL143,2024-11-30,2025-07-17,4,Confirmed,UPI,EUR,85.41
HB00037,PAX00037,HOTEL215,2023-02-18,2025-05-03,3,Confirmed,UPI,INR,476.21
HB00038,PAX00038,HOTEL397,2023-04-26,2025-04-25,3,No-Show,PayPal,INR,374.69
HB00039,PAX00039,HOTEL157,2023-09-24,2025-03-05,4,Confirmed,Credit Card,USD,335.38
HB00040,PAX00040,HOTEL274,2024-01-09,2025-04-03,3,No-Show,Net Banking,GBP,481.5
HB00041,PAX00041,HOTEL142,2024-02-29,2025-10-04,1,No-Show,Credit Card,USD,203.78
HB00042,PAX00042,HOTEL18,2024-09-17,2025-10-22,4,Pending,Credit Card,USD,362.29
HB00043,PAX00043,HOTEL63,2024-03-28,2025-11-05,3,No-Show,PayPal,INR,262.58
HB00044,PAX00044,HOTEL293,2023-11-11,2025-11-15,3,Confirmed,Net Banking,EUR,330.96
HB00045,PAX00045,HOTEL445,2023-09-15,2025-06-20,5,Canceled,Net Banking,GBP,288.49
HB00046,PAX00046,HOTEL38,2024-09-24,2025-10-06,1,Confirmed,UPI,USD,295.97
HB00047,PAX00047,HOTEL483,2024-10-05,2025-11-16,2,Pending,Credit Card,EUR,102.65
HB00048,PAX00048,HOTEL454,2023-07-18,2025-07-18,1,Pending,PayPal,EUR,403.72
HB00049,PAX00049,HOTEL345,2024-06-26,2025-07-18,1,No-Show,Net Banking,EUR,303.21
HB00050,PAX00050,HOTEL245,2024-05-01,2025-01-29,5,Pending,PayPal,EUR,113.06
HB00051,PAX00051,HOTEL15,2023-06-23,2025-10-05,5,Pending,Credit Card,INR,200.42
HB00052,PAX00052,HOTEL304,2023-04-19,2026-01-07,4,No-Show,PayPal,GBP,415.94
HB00053,PAX00053,HOTEL147,2023-05-20,2025-02-19,3,Confirmed,Credit Card,EUR,257.91
HB00054,PAX00054,HOTEL333,2023-05-02,2025-11-15,4,Pending,Net Banking,GBP,198.96
HB00055,PAX00055,HOTEL269,2024-08-27,2025-07-18,2,Pending,Credit Card,EUR,164.91
HB00056,PAX00056,HOTEL411,2024-01-20,2025-12-03,4,Confirmed,PayPal,USD,105.45
HB00057,PAX00057,HOTEL175,2023-07-01,2025-03-26,3,No-Show,PayPal,INR,151.39
HB00058,PAX00058,HOTEL318,2023-09-09,2025-02-16,1,Confirmed,UPI,GBP,397.75
HB00059,PAX00059,HOTEL470,2023-10-03,2025-10-01,1,No-Show,PayPal,INR,358.18
HB00060,PAX00060,HOTEL63,2023-03-03,2025-07-17,5,Confirmed,UPI,GBP,302.26
HB00061,PAX00061,HOTEL398,2024-09-24,2025-04-03,4,Canceled,UPI,INR,177.65
HB00062,PAX00062,HOTEL4,2023-05-21,2026-01-24,1,Pending,Credit Card,USD,372.84
HB00063,PAX00063,HOTEL50,2023-11-26,2025-08-30,5,Pending,Net Banking,USD,217.55
HB00064,PAX00064,HOTEL376,2024-12-25,2025-02-19,2,Canceled,UPI,EUR,192.1
HB00065,PAX00065,HOTEL187,2024-01-31,2025-09-09,2,Pending,Net Banking,USD,73.57
HB00066,PAX00066,HOTEL91,2024-04-16,2025-09-03,3,Canceled,PayPal,INR,495.38
HB00067,PAX00067,HOTEL499,2024-03-05,2025-12-28,2,Canceled,UPI,INR,353.49
HB00068,PAX00068,HOTEL454,2023-12-01,2025-03-29,5,No-Show,UPI,INR,104.17
HB00069,PAX00069,HOTEL435,2024-02-13,2025-07-01,1,No-Show,Credit Card,EUR,354.82
HB00070,PAX00070,HOTEL227,2024-03-09,2025-08-20,4,Pending,Net Banking,INR,98.52
HB00071,PAX00071,HOTEL94,2024-08-09,2025-11-26,4,Canceled,PayPal,EUR,420.49
HB00072,PAX00072,HOTEL406,2024-10-01,2025-02-01,4,No-Show,UPI,EUR,169.1
HB00073,PAX00073,HOTEL25,2025-01-26,2026-01-10,2,No-Show,Credit Card,USD,244.62
HB00074,PAX00074,HOTEL458,2025-01-18,2025-09-17,4,Pending,Net Banking,EUR,99.62
HB00075,PAX00075,HOTEL4,2025-01-21,2025-12-06,3,No-Show,Credit Card,EUR,331.53
HB00076,PAX00076,HOTEL406,2023-09-21,2025-05-19,4,No-Show,Credit Card,EUR,377.72
HB00077,PAX00077,HOTEL161,2024-02-07,2025-12-12,3,No-Show,UPI,EUR,118.01
HB00078,PAX00078,HOTEL429,2023-06-12,2025-02-09,3,Pending,Credit Card,INR,129.32
HB00079,PAX00079,HOTEL235,2023-09-26,2025-11-06,3,Pending,Credit Card,GBP,340.44
HB00080,PAX00080,HOTEL330,2023-09-14,2026-01-06,1,Pending,Net Banking,GBP,243.48
HB00081,PAX00081,HOTEL176,2024-03-07,2025-05-02,1,No-Show,Credit Card,INR,355.62
HB00082,PAX00082,HOTEL144,2023-11-05,2025-02-04,4,No-Show,Net Banking,INR,309.22
HB00083,PAX00083,HOTEL89,2023-02-25,2025-11-17,4,Confirmed,PayPal,USD,478.04
HB00084,PAX00084,HOTEL329,2024-02-05,2025-06-17,4,Confirmed,PayPal,INR,291.38
HB00085,PAX00085,HOTEL395,2023-03-09,2025-12-19,4,No-Show,Credit Card,INR,472.46
HB00086,PAX00086,HOTEL127,2023-04-09,2025-07-13,2,Canceled,Credit Card,USD,252.1
HB00087,PAX00087,HOTEL225,2023-12-17,2025-11-30,5,Canceled,Net Banking,USD,322.54
HB00088,PAX00088,HOTEL255,2024-08-30,2025-10-09,4,Canceled,Net Banking,USD,464.79
HB00089,PAX00089,HOTEL419,2024-01-17,2025-12-22,5,Canceled,PayPal,INR,287.05
HB00090,PAX00090,HOTEL342,2024-03-03,2025-11-09,2,Confirmed,UPI,EUR,53.93
HB00091,PAX00091,HOTEL443,2023-05-25,2025-11-15,4,Confirmed,PayPal,INR,344.04
HB00092,PAX00092,HOTEL469,2023-08-07,2025-12-18,2,Confirmed,Credit Card,USD,54.17
HB00093,PAX00093,HOTEL471,2023-12-26,2025-07-27,5,Confirmed,UPI,GBP,169.23
HB00094,PAX00094,HOTEL477,2023-04-11,2025-11-28,4,Pending,Net Banking,INR,431.83
HB00095,PAX00095,HOTEL310,2024-09-15,2026-01-07,4,No-Show,Net Banking,EUR,172.36
HB00096,PAX00096,HOTEL24,2024-04-22,2025-07-11,5,No-Show,PayPal,INR,357.9
HB00097,PAX00097,HOTEL136,2023-08-30,2025-11-13,4,Confirmed,UPI,GBP,189.64
HB00098,PAX00098,HOTEL80,2024-10-03,2025-10-31,5,No-Show,Net Banking,INR,82.06
HB00099,PAX00099,HOTEL57,2025-01-14,2025-05-10,1,Pending,Credit Card,USD,79.51
HB00100,PAX00100,HOTEL195,2023-03-24,2025-08-02,5,Canceled,UPI,USD,104.23
HB00101,PAX00101,HOTEL43,2023-02-07,2025-10-17,3,No-Show,PayPal,GBP,222.57
HB00102,PAX00102,HOTEL247,2023-11-03,2025-03-01,3,No-Show,UPI,EUR,144.92
HB00103,PAX00103,HOTEL64,2023-07-12,2026-01-06,3,Canceled,PayPal,INR,307.4
HB00104,PAX00104,HOTEL346,2024-08-14,2026-01-18,4,No-Show,Net Banking,EUR,230.04
HB00105,PAX00105,HOTEL116,2023-07-24,2025-09-03,5,Canceled,Net Banking,EUR,80.16
HB00106,PAX00106,HOTEL296,2024-06-28,2025-07-23,2,No-Show,PayPal,EUR,359.03
HB00107,PAX00107,HOTEL216,2023-04-26,2025-03-02,3,Confirmed,Net Banking,USD,138.92
HB00108,PAX00108,HOTEL356,2023-02-09,2025-11-10,5,No-Show,Net Banking,EUR,470.27
HB00109,PAX00109,HOTEL222,2024-01-14,2025-11-04,4,Pending,UPI,GBP,335.98
